,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000,1025,1050,1075,1100,1125,1150,1175,1200,1225,1250,1275,1300,1325,1350,1375,1400,1425,1450,1475,1500,1525,1550,1575,1600
0,1.734434426,1.734434411,1.734434434,1.734434432,1.734434439,1.734434436,1.724784101,1.702405479,1.717365744,1.650459338,1.623506983,1.036413108,0.976662215,0.937518429,0.931730154,0.918344159,0.527701671,0.186198892,0.231730662,0.152780038,0.143955592,0.138066222,0.134661411,0.139400809,0.115268697,0.101121486,9.03E-02,7.79E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.67,1.67,1.64,1.62,1.61,1.60,1.05,1.04,1.04,0.98,0.95,0.94,0.93,0.65,0.57,0.52,0.28,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.09,0.06,0.04,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.60,1.59,1.58,1.57,1.56,1.14,1.10,1.07,1.04,1.01,0.99,0.97,0.84,0.51,0.46,0.23,0.18,0.16,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.10,0.10,0.10,0.09,0.07,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.51,1.49,1.47,1.49,1.23,1.15,1.11,1.08,1.05,1.03,1.00,0.74,0.50,0.30,0.20,0.17,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.10,0.10,0.10,0.09,0.09,0.09,0.08,0.08,0.07,0.04,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.56,1.51,1.37,1.33,1.29,1.23,1.16,1.16,1.14,1.08,1.05,0.89,0.60,0.38,0.23,0.17,0.14,0.13,0.12,0.11,0.11,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.61,1.54,1.48,1.38,1.29,1.17,1.15,1.11,1.11,1.09,1.05,0.99,0.57,0.36,0.22,0.12,0.12,0.11,0.11,0.10,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.2,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.70,1.44,1.37,1.30,1.22,1.10,0.99,0.87,0.83,0.88,0.75,0.64,0.64,0.54,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.06,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.4,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.66,1.41,1.30,1.16,1.08,0.99,0.87,0.77,0.71,0.62,0.54,0.48,0.33,0.24,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.6,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.18,1.06,0.95,0.87,0.73,0.67,0.60,0.50,0.42,0.34,0.22,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.00,0.81,0.69,0.53,0.46,0.42,0.35,0.28,0.20,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,0.81,0.61,0.49,0.36,0.16,0.12,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.2,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.58,0.49,0.35,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.63,0.88,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.6,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.17,0.48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
